"Station","Date","Daily Rainfall (mm)"
"Kinneret Kvuza 09/1977-08/2023","18/11/1981","5.2"
"Kinneret Kvuza 09/1977-08/2023","19/11/1981","6.1"
"Kinneret Kvuza 09/1977-08/2023","20/11/1981","6.4"
"Kinneret Kvuza 09/1977-08/2023","28/11/1981","6.2"
"Kinneret Kvuza 09/1977-08/2023","06/12/1981","1.1"
"Kinneret Kvuza 09/1977-08/2023","16/12/1981","0"
"Kinneret Kvuza 09/1977-08/2023","24/12/1981","5.4"
"Kinneret Kvuza 09/1977-08/2023","25/12/1981","0.2"
"Kinneret Kvuza 09/1977-08/2023","27/12/1981","0.7"
"Kinneret Kvuza 09/1977-08/2023","29/12/1981","0.5"
"Kinneret Kvuza 09/1977-08/2023","04/01/1982","2.3"
"Kinneret Kvuza 09/1977-08/2023","05/01/1982","5.8"
"Kinneret Kvuza 09/1977-08/2023","08/01/1982","5"
"Kinneret Kvuza 09/1977-08/2023","14/01/1982","6.1"
"Kinneret Kvuza 09/1977-08/2023","26/01/1982","0"
"Kinneret Kvuza 09/1977-08/2023","27/01/1982","1.4"
"Kinneret Kvuza 09/1977-08/2023","28/01/1982","1.8"
"Kinneret Kvuza 09/1977-08/2023","31/01/1982","11.7"
"Kinneret Kvuza 09/1977-08/2023","01/02/1982","2.4"
"Kinneret Kvuza 09/1977-08/2023","02/02/1982","13"
"Kinneret Kvuza 09/1977-08/2023","03/02/1982","6.3"
"Kinneret Kvuza 09/1977-08/2023","04/02/1982","11.1"
"Kinneret Kvuza 09/1977-08/2023","05/02/1982","5.2"
"Kinneret Kvuza 09/1977-08/2023","13/02/1982","13.9"
"Kinneret Kvuza 09/1977-08/2023","14/02/1982","2.6"
"Kinneret Kvuza 09/1977-08/2023","20/02/1982","3.9"
"Kinneret Kvuza 09/1977-08/2023","27/02/1982","2.2"
"Kinneret Kvuza 09/1977-08/2023","01/03/1982","1.7"
"Kinneret Kvuza 09/1977-08/2023","02/03/1982","34.6"
"Kinneret Kvuza 09/1977-08/2023","05/03/1982","1.4"
"Kinneret Kvuza 09/1977-08/2023","06/03/1982","10.6"
"Kinneret Kvuza 09/1977-08/2023","08/03/1982","3.3"
"Kinneret Kvuza 09/1977-08/2023","09/03/1982","3.2"
"Kinneret Kvuza 09/1977-08/2023","10/03/1982","1.9"
"Kinneret Kvuza 09/1977-08/2023","13/03/1982","2.5"
"Kinneret Kvuza 09/1977-08/2023","17/03/1982","0.7"
"Kinneret Kvuza 09/1977-08/2023","23/03/1982","0.8"
"Kinneret Kvuza 09/1977-08/2023","24/03/1982","0.6"
"Kinneret Kvuza 09/1977-08/2023","04/04/1982","7.2"
"Kinneret Kvuza 09/1977-08/2023","25/04/1982","0"
"Kinneret Kvuza 09/1977-08/2023","11/05/1982","0"
"Kinneret Kvuza 09/1977-08/2023","12/05/1982","0"
"Kinneret Kvuza 09/1977-08/2023","13/05/1982","5.7"
"Kinneret Kvuza 09/1977-08/2023","31/05/1982","3.6"
"Kinneret Kvuza 09/1977-08/2023","23/10/1982","2.4"
"Kinneret Kvuza 09/1977-08/2023","25/10/1982","0.8"
"Kinneret Kvuza 09/1977-08/2023","26/10/1982","0"
"Kinneret Kvuza 09/1977-08/2023","06/11/1982","10.3"
"Kinneret Kvuza 09/1977-08/2023","07/11/1982","21.6"
"Kinneret Kvuza 09/1977-08/2023","08/11/1982","30.8"
"Kinneret Kvuza 09/1977-08/2023","11/11/1982","0.4"
"Kinneret Kvuza 09/1977-08/2023","19/11/1982","0"
"Kinneret Kvuza 09/1977-08/2023","21/11/1982","1.4"
"Kinneret Kvuza 09/1977-08/2023","22/11/1982","1.5"
"Kinneret Kvuza 09/1977-08/2023","23/11/1982","4.5"
"Kinneret Kvuza 09/1977-08/2023","24/11/1982","0.7"
"Kinneret Kvuza 09/1977-08/2023","25/11/1982","7.1"
"Kinneret Kvuza 09/1977-08/2023","26/11/1982","0.5"
"Kinneret Kvuza 09/1977-08/2023","04/12/1982","29"
"Kinneret Kvuza 09/1977-08/2023","05/12/1982","15"
"Kinneret Kvuza 09/1977-08/2023","13/12/1982","1.2"
"Kinneret Kvuza 09/1977-08/2023","20/12/1982","1.5"
"Kinneret Kvuza 09/1977-08/2023","21/12/1982","23.8"
"Kinneret Kvuza 09/1977-08/2023","28/12/1982","0"
"Kinneret Kvuza 09/1977-08/2023","29/12/1982","3.3"
"Kinneret Kvuza 09/1977-08/2023","31/12/1982","35.7"
"Kinneret Kvuza 09/1977-08/2023","01/01/1983","23.5"
"Kinneret Kvuza 09/1977-08/2023","02/01/1983","1.8"
"Kinneret Kvuza 09/1977-08/2023","03/01/1983","3.8"
"Kinneret Kvuza 09/1977-08/2023","04/01/1983","10"
"Kinneret Kvuza 09/1977-08/2023","14/01/1983","24.1"
"Kinneret Kvuza 09/1977-08/2023","15/01/1983","4.5"
"Kinneret Kvuza 09/1977-08/2023","17/01/1983","25.1"
"Kinneret Kvuza 09/1977-08/2023","18/01/1983","9.3"
"Kinneret Kvuza 09/1977-08/2023","23/01/1983","17.3"
"Kinneret Kvuza 09/1977-08/2023","24/01/1983","1"
"Kinneret Kvuza 09/1977-08/2023","02/02/1983","7"
"Kinneret Kvuza 09/1977-08/2023","03/02/1983","2"
"Kinneret Kvuza 09/1977-08/2023","04/02/1983","7.3"
"Kinneret Kvuza 09/1977-08/2023","06/02/1983","5.9"
"Kinneret Kvuza 09/1977-08/2023","16/02/1983","14"
"Kinneret Kvuza 09/1977-08/2023","17/02/1983","15"
"Kinneret Kvuza 09/1977-08/2023","18/02/1983","22"
"Kinneret Kvuza 09/1977-08/2023","19/02/1983","14.1"
"Kinneret Kvuza 09/1977-08/2023","20/02/1983","14.8"
"Kinneret Kvuza 09/1977-08/2023","21/02/1983","2.7"
"Kinneret Kvuza 09/1977-08/2023","24/02/1983","13.8"
"Kinneret Kvuza 09/1977-08/2023","25/02/1983","2.3"
"Kinneret Kvuza 09/1977-08/2023","26/02/1983","7"
"Kinneret Kvuza 09/1977-08/2023","27/02/1983","1.5"
"Kinneret Kvuza 09/1977-08/2023","28/02/1983","5.2"
"Kinneret Kvuza 09/1977-08/2023","04/03/1983","34.6"
"Kinneret Kvuza 09/1977-08/2023","05/03/1983","17.6"
"Kinneret Kvuza 09/1977-08/2023","06/03/1983","0.6"
"Kinneret Kvuza 09/1977-08/2023","14/03/1983","0.6"
"Kinneret Kvuza 09/1977-08/2023","15/03/1983","1"
"Kinneret Kvuza 09/1977-08/2023","16/03/1983","0.9"
"Kinneret Kvuza 09/1977-08/2023","20/03/1983","5.4"
"Kinneret Kvuza 09/1977-08/2023","21/03/1983","6.6"
"Kinneret Kvuza 09/1977-08/2023","22/03/1983","14.5"
"Kinneret Kvuza 09/1977-08/2023","16/04/1983","4.3"
"Kinneret Kvuza 09/1977-08/2023","17/04/1983","0.3"
"Kinneret Kvuza 09/1977-08/2023","18/04/1983","16.2"
"Kinneret Kvuza 09/1977-08/2023","14/05/1983","7"
"Kinneret Kvuza 09/1977-08/2023","15/05/1983","1"
"Kinneret Kvuza 09/1977-08/2023","03/10/1983","0"
"Kinneret Kvuza 09/1977-08/2023","13/10/1983","0"
"Kinneret Kvuza 09/1977-08/2023","30/10/1983","0"
"Kinneret Kvuza 09/1977-08/2023","07/11/1983","10.4"
"Kinneret Kvuza 09/1977-08/2023","08/11/1983","3.8"
"Kinneret Kvuza 09/1977-08/2023","12/11/1983","30.7"
"Kinneret Kvuza 09/1977-08/2023","13/11/1983","15.9"
"Kinneret Kvuza 09/1977-08/2023","14/11/1983","4"
"Kinneret Kvuza 09/1977-08/2023","07/12/1983","0"
"Kinneret Kvuza 09/1977-08/2023","10/12/1983","5.7"
"Kinneret Kvuza 09/1977-08/2023","11/12/1983","7"
"Kinneret Kvuza 09/1977-08/2023","13/12/1983","0.4"
"Kinneret Kvuza 09/1977-08/2023","16/12/1983","0.5"
"Kinneret Kvuza 09/1977-08/2023","26/12/1983","0"
"Kinneret Kvuza 09/1977-08/2023","01/01/1984","19.9"
"Kinneret Kvuza 09/1977-08/2023","08/01/1984","1.5"
"Kinneret Kvuza 09/1977-08/2023","09/01/1984","1.1"
"Kinneret Kvuza 09/1977-08/2023","14/01/1984","3.4"
"Kinneret Kvuza 09/1977-08/2023","17/01/1984","34"
"Kinneret Kvuza 09/1977-08/2023","18/01/1984","7.8"
"Kinneret Kvuza 09/1977-08/2023","26/01/1984","11.5"
"Kinneret Kvuza 09/1977-08/2023","27/01/1984","9.3"
"Kinneret Kvuza 09/1977-08/2023","06/02/1984","0.9"
"Kinneret Kvuza 09/1977-08/2023","07/02/1984","28.7"
"Kinneret Kvuza 09/1977-08/2023","13/02/1984","0.7"
"Kinneret Kvuza 09/1977-08/2023","03/03/1984","0"
"Kinneret Kvuza 09/1977-08/2023","10/03/1984","0.8"
"Kinneret Kvuza 09/1977-08/2023","11/03/1984","6"
"Kinneret Kvuza 09/1977-08/2023","12/03/1984","7.9"
"Kinneret Kvuza 09/1977-08/2023","13/03/1984","7.8"
"Kinneret Kvuza 09/1977-08/2023","14/03/1984","7.4"
"Kinneret Kvuza 09/1977-08/2023","16/03/1984","7.2"
"Kinneret Kvuza 09/1977-08/2023","17/03/1984","5.7"
"Kinneret Kvuza 09/1977-08/2023","18/03/1984","2.2"
"Kinneret Kvuza 09/1977-08/2023","19/03/1984","4.5"
"Kinneret Kvuza 09/1977-08/2023","22/03/1984","6"
"Kinneret Kvuza 09/1977-08/2023","25/03/1984","17"
"Kinneret Kvuza 09/1977-08/2023","26/03/1984","1.8"
"Kinneret Kvuza 09/1977-08/2023","03/04/1984","0"
"Kinneret Kvuza 09/1977-08/2023","08/04/1984","1.5"
"Kinneret Kvuza 09/1977-08/2023","09/04/1984","1.5"
"Kinneret Kvuza 09/1977-08/2023","10/04/1984","27.5"
"Kinneret Kvuza 09/1977-08/2023","11/04/1984","6.1"
"Kinneret Kvuza 09/1977-08/2023","15/04/1984","21"
"Kinneret Kvuza 09/1977-08/2023","16/04/1984","0.1"
"Kinneret Kvuza 09/1977-08/2023","23/04/1984","2"
"Kinneret Kvuza 09/1977-08/2023","24/04/1984","3"
"Kinneret Kvuza 09/1977-08/2023","25/04/1984","1.1"
"Kinneret Kvuza 09/1977-08/2023","16/10/1984","4.6"
"Kinneret Kvuza 09/1977-08/2023","17/10/1984","11.8"
"Kinneret Kvuza 09/1977-08/2023","18/10/1984","4.6"
"Kinneret Kvuza 09/1977-08/2023","31/10/1984","0"
"Kinneret Kvuza 09/1977-08/2023","01/11/1984","12"
"Kinneret Kvuza 09/1977-08/2023","03/11/1984","1.4"
"Kinneret Kvuza 09/1977-08/2023","04/11/1984","25.2"
"Kinneret Kvuza 09/1977-08/2023","07/11/1984","0"
"Kinneret Kvuza 09/1977-08/2023","16/11/1984","23.5"
"Kinneret Kvuza 09/1977-08/2023","17/11/1984","3.5"
"Kinneret Kvuza 09/1977-08/2023","18/11/1984","11.4"
"Kinneret Kvuza 09/1977-08/2023","24/11/1984","3"
"Kinneret Kvuza 09/1977-08/2023","04/12/1984","1.4"
"Kinneret Kvuza 09/1977-08/2023","08/12/1984","0"
"Kinneret Kvuza 09/1977-08/2023","09/12/1984","1.6"
"Kinneret Kvuza 09/1977-08/2023","12/12/1984","42.5"
"Kinneret Kvuza 09/1977-08/2023","13/12/1984","20.9"
"Kinneret Kvuza 09/1977-08/2023","23/12/1984","0.6"
"Kinneret Kvuza 09/1977-08/2023","02/01/1985","4.5"
"Kinneret Kvuza 09/1977-08/2023","03/01/1985","0.1"
"Kinneret Kvuza 09/1977-08/2023","12/01/1985","0"
"Kinneret Kvuza 09/1977-08/2023","18/01/1985","0.2"
"Kinneret Kvuza 09/1977-08/2023","19/01/1985","2.4"
"Kinneret Kvuza 09/1977-08/2023","20/01/1985","1.8"
"Kinneret Kvuza 09/1977-08/2023","21/01/1985","7.9"
"Kinneret Kvuza 09/1977-08/2023","22/01/1985","2.8"
"Kinneret Kvuza 09/1977-08/2023","29/01/1985","1.2"
"Kinneret Kvuza 09/1977-08/2023","31/01/1985","23.1"
"Kinneret Kvuza 09/1977-08/2023","01/02/1985","24.1"
"Kinneret Kvuza 09/1977-08/2023","02/02/1985","14"
"Kinneret Kvuza 09/1977-08/2023","03/02/1985","3.5"
"Kinneret Kvuza 09/1977-08/2023","04/02/1985","10.2"
"Kinneret Kvuza 09/1977-08/2023","14/02/1985","10.3"
"Kinneret Kvuza 09/1977-08/2023","15/02/1985","6.3"
"Kinneret Kvuza 09/1977-08/2023","16/02/1985","28.6"
"Kinneret Kvuza 09/1977-08/2023","17/02/1985","2.5"
"Kinneret Kvuza 09/1977-08/2023","20/02/1985","0"
"Kinneret Kvuza 09/1977-08/2023","24/02/1985","3.8"
"Kinneret Kvuza 09/1977-08/2023","25/02/1985","6.3"
"Kinneret Kvuza 09/1977-08/2023","26/02/1985","3.7"
"Kinneret Kvuza 09/1977-08/2023","22/03/1985","7"
"Kinneret Kvuza 09/1977-08/2023","23/03/1985","1"
"Kinneret Kvuza 09/1977-08/2023","24/03/1985","1.2"
"Kinneret Kvuza 09/1977-08/2023","03/04/1985","0"
"Kinneret Kvuza 09/1977-08/2023","06/04/1985","0"
"Kinneret Kvuza 09/1977-08/2023","22/04/1985","45.3"
"Kinneret Kvuza 09/1977-08/2023","11/05/1985","0"
"Kinneret Kvuza 09/1977-08/2023","23/05/1985","0"
"Kinneret Kvuza 09/1977-08/2023","12/10/1985","1.8"
"Kinneret Kvuza 09/1977-08/2023","18/10/1985","0.8"
"Kinneret Kvuza 09/1977-08/2023","19/10/1985","4.3"
"Kinneret Kvuza 09/1977-08/2023","31/10/1985","0"
"Kinneret Kvuza 09/1977-08/2023","11/11/1985","0"
"Kinneret Kvuza 09/1977-08/2023","17/11/1985","5.3"
"Kinneret Kvuza 09/1977-08/2023","26/11/1985","4.6"
"Kinneret Kvuza 09/1977-08/2023","30/11/1985","0.5"
"Kinneret Kvuza 09/1977-08/2023","15/12/1985","10"
"Kinneret Kvuza 09/1977-08/2023","17/12/1985","1.7"
"Kinneret Kvuza 09/1977-08/2023","19/12/1985","8.8"
"Kinneret Kvuza 09/1977-08/2023","22/12/1985","2.4"
"Kinneret Kvuza 09/1977-08/2023","23/12/1985","2.8"
"Kinneret Kvuza 09/1977-08/2023","25/12/1985","2"
"Kinneret Kvuza 09/1977-08/2023","26/12/1985","9.5"
"Kinneret Kvuza 09/1977-08/2023","27/12/1985","6.3"
"Kinneret Kvuza 09/1977-08/2023","28/12/1985","5.5"
"Kinneret Kvuza 09/1977-08/2023","02/01/1986","14.1"
"Kinneret Kvuza 09/1977-08/2023","03/01/1986","0.8"
"Kinneret Kvuza 09/1977-08/2023","06/01/1986","0"
"Kinneret Kvuza 09/1977-08/2023","08/01/1986","2"
"Kinneret Kvuza 09/1977-08/2023","10/01/1986","0.5"
"Kinneret Kvuza 09/1977-08/2023","11/01/1986","13"
"Kinneret Kvuza 09/1977-08/2023","12/01/1986","2.5"
"Kinneret Kvuza 09/1977-08/2023","13/01/1986","1.7"
"Kinneret Kvuza 09/1977-08/2023","14/01/1986","27.5"
"Kinneret Kvuza 09/1977-08/2023","15/01/1986","11.5"
"Kinneret Kvuza 09/1977-08/2023","16/01/1986","3"
"Kinneret Kvuza 09/1977-08/2023","18/01/1986","5.4"
"Kinneret Kvuza 09/1977-08/2023","21/01/1986","1.1"
"Kinneret Kvuza 09/1977-08/2023","04/02/1986","1.1"
"Kinneret Kvuza 09/1977-08/2023","05/02/1986","12.5"
"Kinneret Kvuza 09/1977-08/2023","06/02/1986","4"
"Kinneret Kvuza 09/1977-08/2023","08/02/1986","18"
"Kinneret Kvuza 09/1977-08/2023","09/02/1986","20.2"
"Kinneret Kvuza 09/1977-08/2023","13/02/1986","5.5"
"Kinneret Kvuza 09/1977-08/2023","14/02/1986","14.7"
"Kinneret Kvuza 09/1977-08/2023","15/02/1986","5"
"Kinneret Kvuza 09/1977-08/2023","24/02/1986","0.3"
"Kinneret Kvuza 09/1977-08/2023","06/03/1986","0"
"Kinneret Kvuza 09/1977-08/2023","18/03/1986","2.2"
"Kinneret Kvuza 09/1977-08/2023","19/03/1986","0.9"
"Kinneret Kvuza 09/1977-08/2023","29/03/1986","5.4"
"Kinneret Kvuza 09/1977-08/2023","30/03/1986","8.6"
"Kinneret Kvuza 09/1977-08/2023","31/03/1986","0.5"
"Kinneret Kvuza 09/1977-08/2023","02/04/1986","1.5"
"Kinneret Kvuza 09/1977-08/2023","07/04/1986","12.5"
"Kinneret Kvuza 09/1977-08/2023","08/04/1986","2.5"
"Kinneret Kvuza 09/1977-08/2023","14/04/1986","0"
"Kinneret Kvuza 09/1977-08/2023","26/04/1986","0"
"Kinneret Kvuza 09/1977-08/2023","02/05/1986","7.2"
"Kinneret Kvuza 09/1977-08/2023","03/05/1986","23.5"
"Kinneret Kvuza 09/1977-08/2023","04/05/1986","2.5"
"Kinneret Kvuza 09/1977-08/2023","11/05/1986","2"
"Kinneret Kvuza 09/1977-08/2023","14/05/1986","0"
"Kinneret Kvuza 09/1977-08/2023","15/05/1986","0.7"
"Kinneret Kvuza 09/1977-08/2023","11/06/1986","0"
"Kinneret Kvuza 09/1977-08/2023","01/10/1986","25.5"
"Kinneret Kvuza 09/1977-08/2023","02/10/1986","10.5"
"Kinneret Kvuza 09/1977-08/2023","22/10/1986","3.3"
"Kinneret Kvuza 09/1977-08/2023","29/10/1986","0"
"Kinneret Kvuza 09/1977-08/2023","01/11/1986","5.9"
"Kinneret Kvuza 09/1977-08/2023","02/11/1986","34.2"
"Kinneret Kvuza 09/1977-08/2023","03/11/1986","8.9"
"Kinneret Kvuza 09/1977-08/2023","06/11/1986","13.1"
"Kinneret Kvuza 09/1977-08/2023","07/11/1986","30.4"
"Kinneret Kvuza 09/1977-08/2023","08/11/1986","31.9"
"Kinneret Kvuza 09/1977-08/2023","09/11/1986","13.7"
"Kinneret Kvuza 09/1977-08/2023","10/11/1986","3"
"Kinneret Kvuza 09/1977-08/2023","28/11/1986","16.4"
"Kinneret Kvuza 09/1977-08/2023","29/11/1986","0.9"
"Kinneret Kvuza 09/1977-08/2023","30/11/1986","7.1"
"Kinneret Kvuza 09/1977-08/2023","01/12/1986","0.6"
"Kinneret Kvuza 09/1977-08/2023","02/12/1986","1.8"
"Kinneret Kvuza 09/1977-08/2023","08/12/1986","2.3"
"Kinneret Kvuza 09/1977-08/2023","09/12/1986","1"
"Kinneret Kvuza 09/1977-08/2023","12/12/1986","4.2"
"Kinneret Kvuza 09/1977-08/2023","13/12/1986","5.1"
"Kinneret Kvuza 09/1977-08/2023","18/12/1986","3.9"
"Kinneret Kvuza 09/1977-08/2023","19/12/1986","22.5"
"Kinneret Kvuza 09/1977-08/2023","20/12/1986","0.6"
"Kinneret Kvuza 09/1977-08/2023","21/12/1986","8.1"
"Kinneret Kvuza 09/1977-08/2023","27/12/1986","14"
"Kinneret Kvuza 09/1977-08/2023","29/12/1986","14.3"
"Kinneret Kvuza 09/1977-08/2023","30/12/1986","1.3"
"Kinneret Kvuza 09/1977-08/2023","01/01/1987","2.1"
"Kinneret Kvuza 09/1977-08/2023","02/01/1987","3.1"
"Kinneret Kvuza 09/1977-08/2023","05/01/1987","9.3"
"Kinneret Kvuza 09/1977-08/2023","06/01/1987","2.6"
"Kinneret Kvuza 09/1977-08/2023","09/01/1987","6.8"
"Kinneret Kvuza 09/1977-08/2023","22/01/1987","2"
"Kinneret Kvuza 09/1977-08/2023","23/01/1987","5.2"
"Kinneret Kvuza 09/1977-08/2023","24/01/1987","5.1"
"Kinneret Kvuza 09/1977-08/2023","25/01/1987","8.4"
